"ID";"post_author";"post_date";"post_date_gmt";"post_content";"post_title";"post_excerpt";"post_status";"comment_status";"ping_status";"post_password";"post_name";"to_ping";"pinged";"post_modified";"post_modified_gmt";"post_content_filtered";"post_parent";"guid";"menu_order";"post_type";"post_mime_type";"comment_count"
"1";"1";"2014-11-08 21:17:04";"2014-11-08 21:17:04";"1. Vand
Lider du af vandmangel, er huden den største sladrehank. Den står nemlig sidst i fødekæden, og indre, vitale organer har fortrinsret, hvis der er rationering på væsken i din krop. Får du for lidt vand, bliver din hud tør og grålig at se på. Derfor er det vigtigt, at du dagligt indtager mellem halvanden og to liter væske – her tæller kaffe og cola ikke, kun vand og urtete. Det sikrer, at du er godt gennemfugtet, og at din hud er sund, strålende og blød.

2. Bær
Bær har en høj koncentration af antioxidanter og bør derfor være én af de ting, du spiser, hvis ikke hver dag, så ofte. Store mængder af antioxidanterne sidder i skallen på frugt og bær, og fordi du oftest spiser mere end ét bær ad gangen, bliver det samlede overfladeareal større – og dermed også mængden af antioxidanter – når du spiser bær frem for eksempelvis et æble. Spis så mange antioxidanter som overhovedet muligt, de hjælper nemlig med at bekæmpe de frie radikaler, som kommer fra bl.a. cigaretrøg, smog og ozon, og som er med til at ælde din hud.
3. Gulerødder
Sol er som bekendt ikke godt for huden, fordi den ælder huden og kan give pigmentforandringe, hvis du ikke er forsigtig (og forsigtig betyder minimum faktor 30). Men du kan også beskytte huden indefra. Gulerødder indeholder betacaroten, som har en beskyttende effekt på huden, når den udsættes for UV-stråling. Samtidig forlænger gulerødder den eftertragtede kulør fra en tur i solen.

4. Grøn og rød te
Rød og grøn te er ligesom bær enormt rige på antioxidanter, der sløver ældningsprocessen i huden. I eksempelvis Kina og Japan rammer synlige tegn på alderdom senere, end den gør i vesten, og det skyldes bl.a. deres høje forbrug af te, i modsætning til vores høje forbrug af kaffe.

5. Chili, hvidløg og ingefær
De er gode til at opbygge kroppen indefra og sikre en smuk hud udadtil. De er anti-inflammatoriske, og trioen fungerer som håndværkere, der genopbygger indefra, når ting som kaffe, cola og stress dagligt går til angreb på byggestenene i vores legeme.

6. Fed fisk
Gunnar og Minna gør atter deres på tv for at trænge igennem med budskabet om, at vi skal spise fisk to gange om ugen. Og det vil din hud takke dig for. Der er nemlig omega-3, -6 og -9-fedtsyrer i fede fisk som eksempelvis laks. Fedtsyrerne hjælper bl.a. til at opbygge vores celler og fungerer som en hammer, der kan bryde igennem til de fedtopløselige vitaminer såsom A-vitamin, der er vigtigt for synet og immunforsvaret.

7. Fuldkorn
Fuldkorn gør egentlig ikke direkte underværker for din hud, men de gør det indirekte. Det er umuligt at holde de sunde spisevaner, hvis du hele tiden er sulten. Derfor er det en god idé at spise rugbrød og andre former for fuldkorn for at sikre, at du ikke pludselig går amok i kagedåsen. For hvis du får for meget sukker, stiger dit blodsukker. Og det virker nedbrydende på hudens celler og giver grålig hud.";"10 tips til sund hud";;"publish";"open";"open";;"hej-verden";;;"2015-06-30 10:12:09";"2015-06-30 10:12:09";;"0";"http://stayfab.dk/?p=1";"0";"post";;"1"
"2";"1";"2014-11-08 21:17:04";"2014-11-08 21:17:04";"Dette er en eksempelside. Den er forskellig fra et indlæg, fordi den vil forblive det samme sted og være en del af dit websteds navigation (i de fleste temaer). De fleste vil lægge ud med en Om-side, der præsenterer dem for potentielle besøgende. Ordlyden kunne være noget i retning af:

<blockquote>Hejsa! Jeg er cykelbud om dagen, prøver at blive skuespiller om aftenen og dette er min blog. Jeg bor i København, har en dejlig hund, der hedder King, og jeg kan lide Mojitos. (og at blive overrasket af regnvejr.)</blockquote>

... eller noget i retning af:

<blockquote>XYZ Dingenot fabrikken blev grundlagt i 1971 og har leveret kvalitetsdingenoter til offentligheden lige siden. Beliggende i Andeby, har 2.000 ansatte og bidrager med alverdens seje tiltag i lokalområdet.</blockquote>

Som ny WordPress bruger, bør du gå til <a href=""http://stayfab.dk/wp-admin/"">dit kontrolpanel</a> for at slette denne side og oprette nye sider til dit indhold. God fornøjelse!";"Eksempelside";;"publish";"open";"open";;"eksempel-side";;;"2014-11-08 21:17:04";"2014-11-08 21:17:04";;"0";"http://stayfab.dk/?page_id=2";"0";"page";;"0"
"5";"1";"2014-11-08 21:22:46";"2014-11-08 21:22:46";;"Shop";;"publish";"closed";"open";;"shop";;;"2015-04-30 12:25:14";"2015-04-30 12:25:14";;"0";"http://stayfab.dk/?page_id=5";"0";"page";;"0"
"6";"1";"2014-11-08 21:22:46";"2014-11-08 21:22:46";"[woocommerce_cart]";"Cart";;"publish";"closed";"open";;"cart";;;"2014-11-08 21:22:46";"2014-11-08 21:22:46";;"0";"http://stayfab.dk/?page_id=6";"0";"page";;"0"
"7";"1";"2014-11-08 21:22:46";"2014-11-08 21:22:46";"[woocommerce_checkout]";"Checkout";;"publish";"closed";"open";;"checkout";;;"2014-11-08 21:22:46";"2014-11-08 21:22:46";;"0";"http://stayfab.dk/?page_id=7";"0";"page";;"0"
"8";"1";"2014-11-08 21:22:46";"2014-11-08 21:22:46";"[woocommerce_my_account]";"My Account";;"publish";"closed";"open";;"my-account";;;"2014-11-08 21:22:46";"2014-11-08 21:22:46";;"0";"http://stayfab.dk/?page_id=8";"0";"page";;"0"
"10";"1";"2014-11-08 21:25:17";"2014-11-08 21:25:17";"[impact_text include_button=""yes"" button_style=""arrow"" title=""Take the tour"" href=""http://stayfab.dk"" color=""accent"" size=""normal"" type=""roundedarrow"" target=""_self"" position=""cta_align_right"" alt_background=""alt-nine"" el_class=""mt0 mb0 bt0 bb0"" width=""1/1"" el_position=""first last""]
<h2 style=""text-transform: uppercase; text-align: left;"">STAYFAB ER JERES NYE SKØNHEDSPORTAL - VELKOMMEN</h2>
[/impact_text] [blank_spacer height=""55px"" width=""1/1"" el_position=""first last""] [spb_products title=""Nye produkter"" asset_type=""latest-products"" carousel=""yes"" product_size=""standard"" item_count=""8"" width=""1/1"" el_position=""first last""] [blank_spacer height=""40px"" width=""1/1"" el_position=""first last""] [impact_text include_button=""yes"" button_style=""arrow"" title=""Take the tour"" href=""http://neighborhood.swiftideas.net/features/"" color=""accent"" size=""normal"" type=""roundedarrow"" target=""_self"" position=""cta_align_right"" alt_background=""alt-nine"" el_class=""mt0 mb0 bt0 bb0"" width=""1/1"" el_position=""first last""]
<h2 style=""text-transform: uppercase;"">Free international shipping! offer ends May 20th 2013</h2>
[/impact_text] [blank_spacer height=""50px"" width=""1/1"" el_position=""first last""] [spb_products_mini title=""Best sellers"" asset_type=""best-sellers"" item_count=""3"" width=""1/4"" el_position=""first""] [spb_products_mini title=""Top rated"" asset_type=""top-rated"" item_count=""3"" width=""1/4""] [spb_products_mini title=""Sale products"" asset_type=""sale-products"" item_count=""3"" width=""1/4""] [posts_carousel title=""Featured"" item_count=""1"" category=""feature"" show_title=""no"" show_excerpt=""no"" show_details=""no"" excerpt_length=""16"" width=""1/4"" el_position=""last""] [blank_spacer height=""43px"" width=""1/1"" el_position=""first last""] [posts_carousel title=""Latest articles"" item_count=""4"" category=""all"" show_title=""yes"" show_excerpt=""no"" show_details=""yes"" excerpt_length=""16"" width=""1/1"" el_position=""first last""] [tweets_slider title=""Latest Tweets"" twitter_username=""swiftideas"" text_size=""large"" tweets_count=""6"" animation=""slide"" autoplay=""no"" alt_background=""alt-one"" el_class=""mb0 mt0"" width=""1/1"" el_position=""first last""]";"Velkommen";;"publish";"open";"open";;"velkommen";;;"2015-04-30 12:16:27";"2015-04-30 12:16:27";;"0";"http://stayfab.dk/?page_id=10";"0";"page";;"0"
"11";"1";"2014-11-08 21:25:17";"2014-11-08 21:25:17";;"Velkommen";;"inherit";"open";"open";;"10-revision-v1";;;"2014-11-08 21:25:17";"2014-11-08 21:25:17";;"10";"http://stayfab.dk/?p=11";"0";"revision";;"0"
"12";"1";"2014-11-08 21:25:28";"2014-11-08 21:25:28";;"Om StayFab";;"publish";"open";"open";;"om-stayfab";;;"2014-11-08 21:25:28";"2014-11-08 21:25:28";;"0";"http://stayfab.dk/?page_id=12";"0";"page";;"0"
"13";"1";"2014-11-08 21:25:28";"2014-11-08 21:25:28";;"Om StayFab";;"inherit";"open";"open";;"12-revision-v1";;;"2014-11-08 21:25:28";"2014-11-08 21:25:28";;"12";"http://stayfab.dk/?p=13";"0";"revision";;"0"
"14";"1";"2014-11-08 21:25:36";"2014-11-08 21:25:36";;"Kontakt";;"publish";"open";"open";;"kontakt";;;"2014-11-08 21:25:36";"2014-11-08 21:25:36";;"0";"http://stayfab.dk/?page_id=14";"0";"page";;"0"
"15";"1";"2014-11-08 21:25:36";"2014-11-08 21:25:36";;"Kontakt";;"inherit";"open";"open";;"14-revision-v1";;;"2014-11-08 21:25:36";"2014-11-08 21:25:36";;"14";"http://stayfab.dk/?p=15";"0";"revision";;"0"
"182";"2";"2014-11-22 09:45:19";"2014-11-22 09:45:19";" ";;;"publish";"open";"open";;"182";;;"2014-12-29 22:19:28";"2014-12-29 22:19:28";;"0";"http://stayfab.dk/?p=182";"33";"nav_menu_item";;"0"
"179";"2";"2014-11-22 08:46:00";"2014-11-22 08:46:00";" ";;;"publish";"open";"open";;"179";;;"2014-12-29 22:19:28";"2014-12-29 22:19:28";;"0";"http://stayfab.dk/?p=179";"27";"nav_menu_item";;"0"
"180";"2";"2014-11-22 09:09:16";"2014-11-22 09:09:16";" ";;;"publish";"open";"open";;"180";;;"2014-12-29 22:19:28";"2014-12-29 22:19:28";;"0";"http://stayfab.dk/?p=180";"31";"nav_menu_item";;"0"
"20";"1";"2014-11-08 21:26:31";"2014-11-08 21:26:31";" ";;;"publish";"open";"open";;"20";;;"2014-11-08 21:27:22";"2014-11-08 21:27:22";;"0";"http://stayfab.dk/?p=20";"1";"nav_menu_item";;"0"
"21";"1";"2014-11-08 21:26:31";"2014-11-08 21:26:31";" ";;;"publish";"open";"open";;"21";;;"2014-11-08 21:27:22";"2014-11-08 21:27:22";;"0";"http://stayfab.dk/?p=21";"2";"nav_menu_item";;"0"
"22";"1";"2014-11-08 21:26:31";"2014-11-08 21:26:31";" ";;;"publish";"open";"open";;"22";;;"2014-11-08 21:27:22";"2014-11-08 21:27:22";;"0";"http://stayfab.dk/?p=22";"3";"nav_menu_item";;"0"
"340";"2";"2014-12-11 06:04:28";"2014-12-11 06:04:28";"<strong>A</strong>

<a href=""http://stayfab.dk/produkt-kategori/maerker/Alterne"">Alterne</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Amazing-Space"">Amazing Space</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/American-Crew"">American Crew</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Anthony-Logistics"">Anthony Logistics</a>

<strong>B                                                                                           </strong>

<a href=""http://stayfab.dk/produkt-kategori/maerker/Baldessarini"">Baldessarini</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/BareMinerals"">BareMinerals</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Bjorn-Axen"">Bjôrn Axèn</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Bliss"">Bliss</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Bobbi-Brown"">Bobbi Brown</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Bumble-and-bumble"">Bumble and bumble</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Burberry"">Burberry</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Bvlgari"">Bvlgari</a>

<strong>C</strong>

<a href=""http://stayfab.dk/produkt-kategori/maerker/Cacharel"">Cacharel</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Calvin-klein"">Calvin Klein</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Carita"">Carita</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Caudalie"">Caudalie</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Cerruti"">Cerruti</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Chanel"">Chanel</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Chloe"">Chloe</a>
<a href=""http:/http://stayfab.dk/produkt-kategori/maerker/Ciate"">Ciatè</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Clean"">Clean</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/CND-Shellac"">CND Shellac</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Cosmos-Co"">Cosmos Co</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Comfort-Zone"">Comfort Zone</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Crabtree-&amp;-Evelyn"">Crabtree &amp; Evelyn</a>

<strong>D</strong>

<a href=""http://stayfab.dk/produkt-kategori/maerker/D:fi"">D:fi</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Darphin"">Darphin</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Decleor"">Declèor</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Dermalogica"">Dermalogica</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Dior"">Dior</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/DKNY"">DKNY</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Dolce-&amp;-Gabbana"">Dolce &amp; Gabbana</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Donna-karen"">Donna Karen</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Dr.Hauschka"">Dr.Hauschka</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/DSQUARED"">DSQUARED</a>

<strong>E</strong>

<a href=""http://stayfab.dk/produkt-kategori/maerker/E.L.F-Cosmetics"">E.L.F Cosmetics</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Eos"">Eos</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Elie-Saab"">Elie Saab</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Escada"">Escada</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Eucerin"">Eucerin</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Essie"">Essie</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/Eva-Lom"">Eva Lom</a>

<strong>F</strong>

<a href=""http://stayfab.dk/produkt-kategori/maerker/Freeze-24-7"">Freeze 24/7</a>
<a href=""http://stayfab.dk/produkt-kategori/maerker/FUDGE"">FUDGE</a>

<strong>G</strong>

Gentlemen`s Tonic
GHD
Giorgio Armani
Givenchy
Goldwell
Gucci
Guerlain
Guinot

H

He-shi
Hermes
HH SIMONSEN
Hugo Boss

<strong>I</strong>

Ice Mask
ID Hair
Imedeen Derma
Issey Miyake

J

Jane Iredale
Jean Paul Gaultier
John Masters Organics
JOICO
Juicy Couture
Jurlique

<strong>K</strong>

Kenzo
Kèrastase
Kevin Murphy
Kristin Florian
Kiehl`s
Kjær Weis
Korres
KMS California

L

Lànza
Label.M
La Prairie
Lacoste
Lagerfeld
Lanvin
Ling Skin Care

<strong>M</strong>

M.A.C
M2 Beautè
Marc Jacobs
Md Formulations
Matis
Mesoestetic
Michael Kors
Mineralogie
<a href=""http://stayfab.dk/produkt-kategori/maerker/murad"">Murad</a>

<strong>N</strong>

Nak
Neo Stem
Nip + Fab
Nuxe

O

Ole Henriksen
Osis+
OSKIA
Osmo Essence

P

Paco Rabanne
Paul Mitchell
Pa´npuri
pHformula
Phyris
Philip B
Prada

<strong>Q</strong>

Qua Organic

R

Ralph Lauren
Redken
Ren Skincare
Renati
<a href=""http://stayfab.dk/produkt-kategori/maerker/Rodial"">Rodial</a>
Rosebud
Rudolph Care

<strong>S</strong>

Sacha Juan
Sard Kopenhagen
Schwarzkopf
Sebastian Professional
Sensai
Shiseido
Silkpeel
Sisley
Själ Skincare
Skyn Iceland
Sorisa
Stuhr
Suki Skin care

<strong>T</strong>

TIGI
The Organic Pharmacy
Tommy Hilfiger

U

Une

<strong>V</strong>

Valentino
Van Gils
Versace
Vichy
Viktor&amp;Rolf

W

Wella

<strong>Y</strong>

Youngblood
Yves saint Laurent

Z

Zenz";"mærker A-Z";;"inherit";"open";"open";;"161-revision-v1";;;"2014-12-11 06:04:28";"2014-12-11 06:04:28";;"161";"http://stayfab.dk/161-revision-v1";"0";"revision";;"0"
"24";"1";"2014-11-08 21:33:08";"2014-11-08 21:33:08";;"logo";;"inherit";"open";"open";;"logo";;;"2014-11-08 21:34:21";"2014-11-08 21:34:21";;"0";"http://stayfab.dk/wp-content/uploads/2014/11/logo.png";"0";"attachment";"image/png";"0"
"25";"1";"2014-11-08 21:35:22";"2014-11-08 21:35:22";;"logo";;"inherit";"open";"open";;"logo2";;;"2014-11-08 21:35:28";"2014-11-08 21:35:28";;"0";"http://stayfab.dk/wp-content/uploads/2014/11/logo2.png";"0";"attachment";"image/png";"0"
"478";"2";"2014-12-29 22:19:28";"2014-12-29 22:19:28";" ";;;"publish";"open";"open";;"478";;;"2014-12-29 22:19:28";"2014-12-29 22:19:28";;"0";"http://stayfab.dk/?p=478";"9";"nav_menu_item";;"0"
"176";"2";"2014-11-22 08:32:26";"2014-11-22 08:32:26";" ";;;"publish";"open";"open";;"176";;;"2014-12-29 22:19:28";"2014-12-29 22:19:28";;"0";"http://stayfab.dk/?p=176";"23";"nav_menu_item";;"0"
"30";"2";"2014-11-08 21:44:51";"2014-11-08 21:44:51";;"derma";;"inherit";"open";"open";;"derma";;;"2014-11-08 21:44:51";"2014-11-08 21:44:51";;"0";"http://stayfab.dk/wp-content/uploads/2014/11/derma.jpg";"0";"attachment";"image/jpeg";"0"
"181";"2";"2014-11-22 09:43:52";"2014-11-22 09:43:52";" ";;;"publish";"open";"open";;"181";;;"2014-12-29 22:19:28";"2014-12-29 22:19:28";;"0";"http://stayfab.dk/?p=181";"32";"nav_menu_item";;"0"
"178";"2";"2014-11-22 08:38:22";"2014-11-22 08:38:22";" ";;;"publish";"open";"open";;"178";;;"2014-12-29 22:19:28";"2014-12-29 22:19:28";;"0";"http://stayfab.dk/?p=178";"26";"nav_menu_item";;"0"
"177";"2";"2014-11-22 08:34:49";"2014-11-22 08:34:49";" ";;;"publish";"open";"open";;"177";;;"2014-12-29 22:19:28";"2014-12-29 22:19:28";;"0";"http://stayfab.dk/?p=177";"25";"nav_menu_item";;"0"
"154";"2";"2014-11-18 19:14:40";"2014-11-18 19:14:40";" ";;;"publish";"open";"open";;"154";;;"2014-12-29 22:19:29";"2014-12-29 22:19:29";;"0";"http://stayfab.dk/?p=154";"75";"nav_menu_item";;"0"
"153";"2";"2014-11-18 19:13:16";"2014-11-18 19:13:16";" ";;;"publish";"open";"open";;"153";;;"2014-12-29 22:19:28";"2014-12-29 22:19:28";;"0";"http://stayfab.dk/?p=153";"42";"nav_menu_item";;"0"
"238";"2";"2014-11-25 19:19:48";"2014-11-25 19:19:48";" ";;;"publish";"open";"open";;"238";;;"2014-12-29 22:19:29";"2014-12-29 22:19:29";;"0";"http://stayfab.dk/?p=238";"86";"nav_menu_item";;"0"
"175";"2";"2014-11-22 08:29:57";"2014-11-22 08:29:57";" ";;;"publish";"open";"open";;"175";;;"2014-12-29 22:19:28";"2014-12-29 22:19:28";;"0";"http://stayfab.dk/?p=175";"24";"nav_menu_item";;"0"
"174";"2";"2014-11-21 18:56:34";"2014-11-21 18:56:34";" ";;;"publish";"open";"open";;"174";;;"2014-12-29 22:19:29";"2014-12-29 22:19:29";;"0";"http://stayfab.dk/?p=174";"77";"nav_menu_item";;"0"
"173";"2";"2014-11-21 18:49:14";"2014-11-21 18:49:14";" ";;;"publish";"open";"open";;"173";;;"2014-12-29 22:19:28";"2014-12-29 22:19:28";;"0";"http://stayfab.dk/?p=173";"39";"nav_menu_item";;"0"
"171";"2";"2014-11-21 18:46:30";"2014-11-21 18:46:30";" ";;;"publish";"open";"open";;"171";;;"2014-12-29 22:19:28";"2014-12-29 22:19:28";;"0";"http://stayfab.dk/?p=171";"29";"nav_menu_item";;"0"
"172";"2";"2014-11-21 18:48:21";"2014-11-21 18:48:21";" ";;;"publish";"open";"open";;"172";;;"2014-12-29 22:19:28";"2014-12-29 22:19:28";;"0";"http://stayfab.dk/?p=172";"30";"nav_menu_item";;"0"
"170";"2";"2014-11-21 18:32:32";"2014-11-21 18:32:32";" ";;;"publish";"open";"open";;"170";;;"2014-12-29 22:19:28";"2014-12-29 22:19:28";;"0";"http://stayfab.dk/?p=170";"28";"nav_menu_item";;"0"
"169";"2";"2014-11-21 18:30:55";"2014-11-21 18:30:55";" ";;;"publish";"open";"open";;"169";;;"2014-12-29 22:19:28";"2014-12-29 22:19:28";;"0";"http://stayfab.dk/?p=169";"22";"nav_menu_item";;"0"
